yyyy;mm;dd;1;2;3;4;5;6;zz
2018;3;3;5;24;28;37;40;44;8
2018;2;28;6;15;32;36;43;47;6
2018;2;24;18;27;33;41;44;47;6
2018;2;21;3;6;8;29;40;47;7
2018;2;17;15;18;26;27;37;42;2
2018;2;14;6;16;20;22;23;24;6
2018;2;10;17;20;27;35;41;45;8
2018;2;7;15;20;25;28;33;41;5
2018;2;3;5;9;13;20;39;48;5
2018;1;31;3;6;8;26;29;38;8
2018;1;27;4;22;24;34;36;43;6
2018;1;24;3;5;18;31;37;45;7
2018;1;20;3;11;15;18;33;45;4
2018;1;17;3;13;25;27;32;48;2
2018;1;13;5;6;14;16;31;48;0
2018;1;10;3;22;24;25;43;45;6
2018;1;6;5;14;32;37;46;47;0
2018;1;3;10;15;31;34;35;45;8
2017;12;30;11;12;14;27;37;48;0
2017;12;27;17;19;31;37;45;46;0
2017;12;23;4;11;31;32;38;39;6
2017;12;20;8;13;35;38;39;44;4
2017;12;16;5;6;18;23;30;40;9
2017;12;13;2;3;9;14;17;27;0
2017;12;9;7;12;16;20;25;46;7
2017;12;6;11;18;19;29;35;43;9
2017;12;2;3;12;13;17;18;33;2
2017;11;29;9;16;25;28;30;32;8
2017;11;25;11;17;20;26;37;43;9
2017;11;22;24;28;29;32;34;48;9
2017;11;18;2;5;9;12;20;35;7
2017;11;15;6;23;35;40;45;46;5
2017;11;11;1;7;11;16;19;37;7
2017;11;8;7;14;24;37;38;43;7
2017;11;4;3;7;14;21;46;47;6
2017;11;1;3;8;15;18;21;31;9
2017;10;28;1;20;22;24;33;36;1
2017;10;25;1;18;29;32;36;42;8
2017;10;21;4;10;15;25;34;46;1
2017;10;18;4;7;10;11;13;38;4
2017;10;14;7;9;10;13;35;40;7
2017;10;11;3;6;17;20;21;42;7
2017;10;7;11;20;21;24;30;49;6
2017;10;4;11;15;16;17;19;45;4
2017;9;30;4;18;19;23;33;46;1
2017;9;27;17;20;25;31;33;37;6
2017;9;23;10;15;19;23;38;44;6
2017;9;20;3;9;28;30;36;46;3
2017;9;16;21;26;27;31;35;47;9
2017;9;13;11;16;17;18;30;40;6
2017;9;9;8;14;18;27;40;49;3
2017;9;6;12;16;19;28;33;48;3
2017;9;2;3;5;8;14;33;34;6
2017;8;30;5;7;9;21;29;34;3
2017;8;26;2;11;19;24;28;49;9
2017;8;23;16;23;25;28;32;49;6
2017;8;19;2;10;29;35;45;48;2
2017;8;16;6;9;29;36;38;49;3
2017;8;12;5;15;25;27;47;49;6
2017;8;9;1;10;18;39;41;49;7
2017;8;5;14;18;19;23;37;49;5
2017;8;2;21;22;23;34;36;49;5
2017;7;29;14;20;29;30;35;37;3
2017;7;26;12;15;18;26;27;33;0
2017;7;22;5;27;37;41;45;47;7
2017;7;19;17;19;21;27;36;41;1
2017;7;15;8;25;31;32;33;38;1
2017;7;12;18;22;30;36;44;49;7
2017;7;8;2;3;17;23;27;40;2
2017;7;5;7;33;34;39;40;47;0
2017;7;1;2;3;15;22;35;47;8
2017;6;28;13;17;29;38;41;42;4
2017;6;24;13;23;27;38;43;46;6
2017;6;21;4;6;7;39;41;44;4
2017;6;17;2;6;16;22;44;49;1
2017;6;14;29;30;32;33;36;44;1
2017;6;10;4;6;16;26;29;42;7
2017;6;7;6;17;18;28;33;37;4
2017;6;3;24;31;32;35;37;46;3
2017;5;31;9;17;24;27;36;48;7
2017;5;27;23;24;25;27;29;49;1
2017;5;24;6;13;19;25;26;44;3
2017;5;20;1;15;29;34;37;44;7
2017;5;17;1;2;23;26;36;43;3
2017;5;13;7;19;32;45;47;48;1
2017;5;10;9;18;26;38;39;42;8
2017;5;6;16;26;30;31;32;47;4
2017;5;3;4;5;12;18;20;33;8
2017;4;29;3;4;18;36;37;49;5
2017;4;26;25;31;34;37;39;42;3
2017;4;22;1;11;12;19;25;32;7
2017;4;19;19;23;27;30;41;48;0
2017;4;15;12;18;21;27;30;36;7
2017;4;12;10;11;14;24;26;48;5
2017;4;8;2;7;28;39;40;47;1
2017;4;5;1;6;7;22;41;49;2
2017;4;1;5;8;9;18;22;36;8
2017;3;29;9;21;24;25;28;47;2
2017;3;25;1;9;11;25;26;49;6
2017;3;22;4;15;18;21;22;38;6
2017;3;18;4;12;23;27;31;40;0
2017;3;15;7;15;16;25;26;40;1
2017;3;11;4;12;17;26;46;49;8
2017;3;8;3;7;16;26;28;35;6
2017;3;4;1;19;22;23;41;45;2
