yyyy;mm;dd;1;2;3;4;5;6
1956;6;10;10;14;16;23;40;46
1956;6;3;11;17;33;34;35;36
1956;5;27;5;33;35;36;38;43
1956;5;21;6;12;22;31;37;42
1956;5;13;4;31;32;34;39;43
1956;5;6;1;3;39;41;45;49
1956;4;29;4;18;34;36;40;47
1956;4;22;10;19;21;24;33;35
1956;4;15;1;12;14;31;32;46
1956;4;8;2;19;25;30;32;39
1956;4;2;7;10;22;25;32;43
1956;3;25;3;16;18;19;37;42
1956;3;18;3;10;24;26;38;49
1956;3;11;6;9;20;22;26;28
1956;3;4;4;6;17;19;41;47
1956;2;26;1;30;32;42;45;48
1956;2;19;8;20;26;35;38;42
1956;2;12;1;14;23;27;30;33
1956;2;5;12;26;35;36;42;43
1956;1;29;5;6;18;22;38;43
1956;1;22;12;17;23;27;35;40
1956;1;15;1;9;16;19;29;49
1956;1;8;6;21;22;37;41;42
1956;1;1;4;22;27;36;38;46
1955;12;25;5;9;34;38;39;42
1955;12;18;8;14;26;36;39;42
1955;12;11;8;10;22;26;31;37
1955;12;4;5;20;21;26;31;47
1955;11;27;9;24;26;37;44;46
1955;11;20;4;8;12;16;27;44
1955;11;13;6;18;22;29;37;44
1955;11;6;5;6;31;39;44;49
1955;10;30;4;13;23;30;36;44
1955;10;23;12;14;23;24;34;36
1955;10;16;3;12;18;30;32;49
1955;10;9;3;12;13;16;23;41

